Date,Open,High,Low,Close,Adj Close,Volume
2022-10-21,567.0,579.0,565.0,567.0,498.8819885253906,4956286
2022-10-24,587.0,596.0,585.0,588.0,517.359130859375,5684321
2022-10-25,591.0,592.0,563.0,563.0,495.3625183105469,6381937
2022-10-26,569.0,582.0,565.0,579.0,509.4403381347656,6518295
2022-10-27,589.0,592.0,583.0,589.0,518.2389526367188,6051076
2022-10-28,582.0,585.0,564.0,565.0,497.12225341796875,6036461
2022-10-31,585.0,604.0,576.0,590.0,519.1188354492188,16334090
2022-11-01,592.0,604.0,590.0,599.0,527.03759765625,7663380
2022-11-02,595.0,607.0,593.0,599.0,527.03759765625,6657914
2022-11-03,587.0,602.0,587.0,600.0,527.9174194335938,6358739
2022-11-04,600.0,600.0,586.0,597.0,525.27783203125,4370544
2022-11-07,608.0,623.0,601.0,620.0,545.5147094726562,8093011
2022-11-08,632.0,632.0,616.0,620.0,545.5147094726562,7837433
2022-11-09,628.0,656.0,626.0,650.0,571.9105224609375,12019117
2022-11-10,648.0,660.0,641.0,660.0,580.709228515625,7154267
2022-11-11,698.0,700.0,680.0,700.0,615.9036865234375,15760682
2022-11-14,705.0,710.0,694.0,697.0,613.26416015625,9563892
2022-11-15,704.0,735.0,700.0,722.0,635.2606811523438,13610403
2022-11-16,732.0,738.0,719.0,729.0,641.419677734375,9978727
2022-11-17,740.0,740.0,716.0,725.0,637.9002075195312,6790953
